epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
1.0,0,1,9,0,0,8,0,0,10,0,2,13,28,0,0,0,0,0,0,13,14,0,0,0,3,17,0,0,0,0,27,0,0,21,0,38,13,0,337,8,0,0,21,0,17,6,0,45,0,105,7,5,8,0,0,49,0,20,0,42,2,0,0,0,0,10,21,33,0,0,0,6,0,0,0,0,81,0,5,0,0,0,0,0,21,28,0,0,0,17,0,0,12,14,3,0,56,0,11,0,0,0,28,29,73,4,14,8,0,0,0,5,6,0,19,0,0,3,32,10,26,34,0,0,53,36,0,44,0,12,0,0,4,0,0,0,18,7,0,8,0,21,0,16,0,0,22,6,20,30,41,0,0,0,68,21,0,0,0,1,0,8,8,0,0,1,0,40,0,21,44,0,0,0,0,12
1.0,0,2,0,18,0,0,0,1,0,4,0,0,0,0,0,4,102,0,28,0,10,0,0,41,0,9,3,0,32,0,18,0,0,0,2,37,0,9,248,36,6,0,26,7,0,2,0,0,1,0,4,0,0,0,0,32,7,0,21,17,0,19,0,0,0,0,0,46,0,0,13,0,0,0,52,3,32,0,0,3,0,41,0,0,5,0,0,0,13,2,0,0,8,0,29,3,0,0,18,0,2,0,0,0,0,37,22,0,0,0,6,0,3,0,69,31,2,47,1,41,4,0,10,0,0,0,0,0,14,58,0,90,0,8,0,4,19,0,0,39,8,0,56,12,0,0,6,0,0,0,12,5,4,0,0,0,51,9,0,0,0,0,6,0,7,18,6,29,0,38,8,0,16,0,29,0
1.0,0,3,0,7,0,6,35,17,10,4,14,0,1,0,0,4,16,0,3,20,0,6,0,17,34,45,0,11,65,0,26,0,0,6,18,26,0,0,218,0,0,7,0,26,12,33,0,0,10,0,85,8,0,0,11,46,8,0,0,12,0,0,0,30,0,0,9,57,0,0,8,5,0,0,6,0,191,10,0,0,33,44,6,0,0,10,0,0,24,0,0,66,0,12,55,12,10,0,0,0,21,0,0,10,33,6,6,9,0,0,20,0,7,0,0,1,45,3,0,28,0,21,0,0,0,0,0,5,0,10,0,0,176,12,0,0,17,8,0,7,2,10,23,0,62,8,0,13,0,0,76,20,8,0,0,28,11,0,4,39,0,51,0,16,13,0,0,0,0,10,1,6,2,13,0,18
1.0,0,4,0,5,0,0,11,22,0,0,11,0,6,0,35,0,26,25,7,0,0,5,9,0,6,0,87,0,37,0,0,0,19,0,0,2,3,2,299,0,0,26,0,2,5,82,0,21,37,5,12,9,11,0,0,35,0,11,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,52,12,145,22,0,0,49,0,25,10,0,0,0,1,19,0,8,3,0,0,0,69,0,0,8,0,0,0,0,0,12,52,19,15,0,34,0,0,31,0,2,33,19,0,5,0,13,0,80,29,67,0,2,6,2,10,0,8,5,30,1,54,27,7,0,6,2,32,8,0,20,9,19,0,0,0,9,0,7,0,0,25,1,0,0,32,0,4,1,0,36,0,0,0,14,17,13,4,0,23,0,6
1.0,0,5,0,8,0,2,15,0,15,0,11,0,13,0,34,0,32,0,19,0,0,0,80,37,15,0,0,37,33,0,5,55,6,2,63,17,24,35,88,7,0,11,3,0,60,118,0,0,0,0,0,0,0,48,0,0,0,12,16,11,0,0,5,25,7,0,15,22,14,4,7,0,0,8,0,29,92,0,0,10,3,0,0,0,0,10,61,33,61,0,18,4,25,0,0,0,18,0,0,0,76,0,0,3,0,0,55,14,8,12,8,0,0,45,13,2,0,13,0,17,105,17,5,0,19,2,6,6,7,0,1,0,0,35,2,0,6,21,0,0,31,0,12,0,0,0,19,0,0,0,27,0,46,19,0,0,34,0,0,5,2,0,0,5,0,14,32,15,10,4,1,0,0,0,0,0
1.0,0,6,52,0,0,20,3,2,5,0,40,21,0,18,16,0,0,21,0,15,0,2,0,0,0,14,0,0,34,12,49,3,8,48,0,0,0,0,94,0,0,0,36,10,33,131,0,0,16,0,24,6,5,0,0,30,10,0,5,8,3,20,0,0,1,0,0,16,4,2,0,11,0,16,0,18,80,0,6,3,0,0,0,0,0,0,0,45,0,0,3,0,0,2,0,0,3,0,0,0,0,0,21,12,4,10,0,0,13,10,25,0,0,13,18,43,3,2,0,4,0,0,14,76,0,0,13,10,29,0,0,0,7,0,0,0,0,13,0,0,0,5,50,0,0,31,0,0,40,3,27,5,0,1,48,0,0,0,1,27,0,10,1,0,7,0,80,19,35,0,0,0,1,23,0,0
1.0,0,7,0,0,0,6,0,0,0,0,0,30,0,21,0,41,13,0,19,0,18,0,0,7,0,20,0,22,0,18,0,0,13,17,0,0,0,0,106,13,0,0,0,21,0,156,0,23,0,0,16,0,0,0,0,40,0,0,0,1,0,0,0,0,0,0,0,4,0,11,26,0,0,18,33,16,1,0,35,136,27,52,0,35,24,0,5,0,0,7,0,0,1,33,0,1,0,0,41,12,0,15,0,17,3,28,0,10,6,0,21,0,0,0,0,0,0,16,7,0,0,0,0,2,11,0,32,0,0,30,25,19,23,0,0,10,0,0,0,0,23,16,5,5,11,41,2,0,8,0,28,0,7,11,0,0,0,0,5,18,16,0,0,50,0,0,0,6,0,20,0,0,55,27,0,1
1.0,0,8,0,0,0,0,0,0,0,2,43,6,0,21,7,0,0,0,13,5,0,0,27,31,0,3,0,28,51,17,8,0,0,2,17,0,0,20,209,0,0,1,38,0,17,189,23,0,21,18,0,2,13,0,0,93,0,0,0,0,53,0,0,0,0,0,9,0,36,0,0,13,0,11,0,26,9,0,29,0,10,11,21,0,48,0,0,15,17,0,2,0,0,0,7,18,0,0,0,1,31,11,0,29,14,0,4,0,73,41,32,20,2,1,0,19,0,0,0,39,0,3,0,0,17,21,9,0,0,15,2,48,0,0,1,8,0,0,6,0,7,0,0,0,0,0,13,0,0,0,36,16,7,16,0,18,0,25,7,18,41,0,0,0,24,0,0,21,29,0,0,31,0,0,20,19
1.0,0,9,7,11,0,0,14,11,20,0,0,26,1,0,61,13,6,8,30,43,3,0,0,0,2,69,27,0,12,31,11,0,15,0,0,0,0,7,138,13,11,20,50,0,0,170,9,40,0,0,0,13,0,0,0,26,40,0,73,7,0,0,0,0,0,0,2,0,0,32,2,0,11,0,0,13,0,0,0,16,15,23,0,0,44,27,0,18,8,4,0,0,5,4,6,0,26,1,23,9,0,0,5,0,0,0,0,0,9,0,8,30,0,11,12,15,0,20,23,0,0,0,0,11,76,13,2,3,7,0,0,14,0,23,24,34,2,33,7,4,0,0,74,104,40,0,58,24,8,0,17,0,0,0,0,11,15,1,10,6,52,44,3,0,92,16,0,68,16,1,24,70,4,0,0,0
1.0,0,10,0,0,0,0,8,0,7,0,0,51,0,44,10,0,10,0,6,64,0,16,0,26,0,0,0,77,0,0,0,7,18,3,53,0,0,0,131,44,0,9,0,0,88,156,0,0,0,13,1,5,0,31,7,0,0,9,6,21,10,32,0,0,0,49,11,51,3,9,34,0,26,0,18,0,10,27,0,0,17,0,21,0,4,13,17,19,0,11,4,10,0,0,0,15,0,33,23,0,1,8,6,8,43,0,0,0,0,0,7,1,0,0,34,0,0,0,0,0,0,3,16,0,34,0,0,26,15,26,8,32,35,28,27,0,12,9,7,0,0,0,2,0,29,0,0,0,9,0,0,0,34,0,0,30,0,28,0,37,11,0,4,57,0,0,23,30,4,19,0,0,0,0,0,3
