epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
2.0,0,1,0,0,0,4,0,40,14,3,4,0,0,7,18,0,0,9,0,10,0,0,5,0,0,0,0,0,25,0,42,11,13,21,9,5,0,9,330,2,0,0,0,0,10,19,12,0,0,0,0,21,0,10,1,73,4,9,16,1,11,0,15,23,4,0,2,24,0,0,9,0,18,0,0,0,106,0,0,0,0,31,33,29,3,17,11,3,0,0,7,0,0,5,10,1,3,0,14,5,16,0,7,2,0,5,6,0,40,0,1,19,0,0,0,0,11,2,0,0,0,4,0,1,13,0,4,37,0,1,0,0,0,28,9,37,0,34,0,0,0,0,8,0,0,5,6,7,5,0,23,1,6,0,8,0,0,2,0,0,0,7,2,0,0,0,10,1,0,12,0,0,24,2,40,6
2.0,0,2,10,0,0,2,18,15,2,10,13,0,1,8,0,0,0,8,0,7,0,0,0,0,0,6,0,0,15,6,0,0,0,23,3,10,39,27,265,2,1,35,0,0,2,14,2,13,0,0,8,0,6,0,0,30,10,15,34,0,12,0,3,16,0,0,34,13,14,0,4,0,15,13,18,4,57,0,26,0,7,0,15,0,6,29,0,10,7,11,0,2,0,0,0,5,0,0,13,3,0,0,34,4,0,18,11,3,0,5,16,0,0,5,11,44,8,2,6,13,2,3,13,8,13,0,0,0,0,0,0,2,0,3,0,0,0,5,0,2,5,0,9,0,14,0,11,0,17,5,13,2,15,38,0,0,0,6,5,0,0,13,0,6,0,6,10,15,0,0,0,0,0,0,0,0
2.0,0,3,0,49,5,21,0,1,0,0,14,5,0,0,14,3,0,0,0,0,0,14,0,0,0,37,7,0,6,0,0,9,0,0,1,0,0,0,189,0,0,17,0,2,15,26,0,0,2,10,0,14,5,0,0,24,0,0,1,0,0,32,9,6,0,32,0,74,13,0,0,18,0,0,5,0,156,0,0,0,6,41,0,14,10,0,13,0,22,0,0,0,0,0,0,3,0,0,26,0,0,0,0,0,1,0,5,22,11,8,19,0,5,0,0,0,8,0,3,26,9,1,2,9,24,11,0,4,0,0,17,1,0,3,0,20,7,19,0,5,0,7,3,0,0,17,0,0,0,41,19,0,7,1,31,0,25,1,20,4,0,0,7,0,0,1,0,12,3,0,3,0,0,4,1,0
2.0,0,4,0,0,8,0,24,14,7,0,0,0,0,5,0,17,1,0,10,36,0,0,9,0,50,20,1,6,27,0,26,3,7,0,0,0,0,3,310,20,9,0,0,11,5,93,5,0,0,2,8,0,17,3,0,28,19,0,0,0,3,0,0,0,0,0,0,17,0,9,14,0,0,0,1,0,127,0,0,5,23,13,31,0,10,38,0,27,0,0,3,4,1,0,13,0,18,0,20,8,0,3,24,0,0,14,3,0,0,0,0,0,0,14,0,9,2,0,2,0,0,0,11,3,12,18,0,10,0,0,2,12,0,0,0,11,1,0,0,0,18,5,46,0,10,0,0,0,26,11,21,33,4,0,17,0,0,0,0,0,3,0,2,0,0,1,2,0,19,0,13,28,0,0,7,8
2.0,0,5,4,0,0,44,0,5,0,30,10,0,13,14,14,15,0,19,0,17,0,0,6,0,0,1,0,0,46,2,0,0,0,1,0,13,2,0,109,0,7,22,2,13,8,39,0,27,0,7,0,0,3,16,3,31,0,8,0,0,3,3,0,0,0,0,0,27,0,5,0,0,0,1,0,0,117,0,23,7,0,1,5,0,0,0,0,0,14,0,41,0,0,0,0,14,0,18,11,8,13,5,0,1,0,0,3,2,0,16,1,0,0,5,17,7,0,0,0,22,0,3,0,0,1,7,0,1,0,2,1,0,12,0,1,14,26,14,3,0,17,0,0,12,0,28,0,19,0,5,33,4,1,0,13,4,5,0,0,0,14,38,0,33,21,0,0,0,11,0,0,0,22,84,26,0
2.0,0,6,1,24,7,0,0,0,0,7,9,14,8,0,0,0,8,14,43,19,7,7,0,9,0,0,0,3,4,15,32,17,33,0,1,0,13,0,86,17,0,0,0,1,11,115,1,4,0,13,0,4,9,0,3,43,5,0,0,11,31,9,4,2,1,0,0,15,6,21,5,0,0,9,6,20,50,13,0,0,0,9,17,2,3,0,0,1,0,0,1,0,0,2,4,6,2,0,2,0,11,11,1,0,0,27,0,3,0,6,0,0,0,8,0,0,3,0,4,3,4,0,6,7,2,0,13,0,0,0,0,1,0,13,0,0,0,7,23,0,2,16,0,6,0,0,0,0,3,0,19,2,0,10,33,10,18,1,7,0,0,0,1,0,12,14,9,1,17,9,0,0,12,17,0,1
2.0,0,7,0,0,0,22,3,6,3,5,13,4,0,0,0,0,0,0,10,0,0,6,0,14,18,0,2,1,7,0,10,0,9,0,0,0,0,1,87,16,2,0,5,1,0,207,1,0,0,0,0,0,13,0,0,20,0,2,22,1,7,0,35,0,1,1,0,1,0,6,0,0,0,0,0,0,4,0,22,0,0,3,7,0,0,0,21,2,0,2,44,0,13,0,7,8,3,0,7,15,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,11,13,11,0,0,0,0,9,9,0,23,7,8,0,0,2,2,2,0,0,1,0,0,0,0,5,5,0,0,5,0,0,5,0,3,0,0,0,0,6,0,0,7,5,4,0,21,0,8,7,2,0,0,10,7,8,7,16,0,4,4
2.0,0,8,2,0,5,12,0,0,0,7,4,10,11,0,0,4,8,0,0,9,14,0,16,14,6,0,0,0,5,0,0,5,0,4,10,0,1,0,222,3,0,0,1,0,15,237,7,0,3,0,0,0,15,0,0,55,0,0,0,0,0,0,0,6,14,14,0,10,0,21,0,1,0,0,15,0,12,0,12,5,0,0,19,9,16,1,4,0,0,3,9,0,7,13,0,6,0,21,5,7,23,9,17,2,13,32,9,27,12,3,0,0,0,7,0,0,0,13,0,0,9,0,16,0,7,6,8,12,2,2,0,33,0,0,0,0,4,1,11,3,5,6,1,16,4,0,2,9,0,0,16,0,10,0,2,56,0,21,3,4,21,0,2,0,0,0,0,0,20,0,17,6,8,0,4,0
2.0,0,9,6,0,4,0,0,23,6,15,7,3,0,0,3,0,43,10,9,0,0,0,0,9,0,7,0,27,0,0,9,8,12,0,0,10,0,11,126,25,0,0,21,25,13,192,7,0,4,0,0,1,14,22,0,22,0,0,0,4,0,27,0,2,2,2,4,7,0,6,0,14,0,3,0,0,0,18,0,0,0,8,9,0,0,10,4,0,6,0,0,0,2,3,0,11,0,0,55,12,0,3,28,6,53,0,5,0,0,16,8,16,0,6,0,0,0,4,5,0,0,0,5,28,27,5,5,0,29,0,0,1,19,0,1,3,32,0,0,16,9,0,2,0,0,9,5,0,0,0,24,0,4,0,13,11,0,17,0,0,11,0,11,0,0,5,0,5,0,0,10,0,0,29,0,8
2.0,0,10,22,0,7,7,6,0,0,5,3,14,0,9,0,0,6,2,0,6,7,0,0,0,0,0,0,11,0,0,32,0,0,0,22,0,2,31,136,0,0,0,12,0,11,143,4,1,9,0,0,0,14,10,0,10,0,0,6,1,0,13,0,11,73,0,0,14,0,5,0,6,0,0,0,19,0,0,0,9,3,0,0,0,11,0,0,30,0,10,0,0,0,9,0,0,5,0,34,13,0,3,0,4,0,4,0,15,0,9,4,0,28,0,0,8,1,0,0,0,0,3,14,8,5,4,0,0,4,0,5,2,0,0,0,19,2,7,17,7,0,2,0,4,5,29,0,0,0,4,3,0,6,15,9,0,7,2,0,0,5,0,0,4,0,19,2,0,1,0,2,0,6,8,9,8
