epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
2.0,0,1,0,0,0,0,0,0,0,0,0,366,61,0,0,0,0,0,61,0,0,0,0,0,0,0,0,61,915,0,305,61,0,0,0,0,0,122,20138,0,0,0,0,0,671,0,0,0,0,0,0,0,183,0,0,2380,0,0,0,0,0,0,0,61,0,0,244,732,0,0,0,0,0,0,244,0,5187,0,0,0,122,61,488,0,0,0,366,0,0,0,0,0,0,61,0,0,61,0,976,0,0,0,0,0,0,244,61,0,61,0,0,0,0,122,0,183,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,61,122,0,0,61,0,61,1831,0,0,0,183,61,0,0,0,0,0,122,0,0,122,0,122,0,61,122,0,0,0,0,0,0
2.0,0,2,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,133,133,0,0,0,0,0,0,0,0,931,0,66,133,0,0,0,0,0,199,17688,0,0,0,0,0,133,0,0,0,0,0,0,0,66,0,0,1662,0,0,0,0,0,0,0,133,0,0,66,1529,0,0,0,0,0,0,266,66,3724,0,0,66,0,0,66,0,0,66,66,0,0,0,0,0,0,66,0,0,66,0,1064,0,0,0,0,0,0,332,0,0,0,0,0,0,0,66,0,0,0,0,0,199,0,66,66,0,0,0,0,0,0,0,0,0,0,133,0,0,133,133,0,0,0,0,0,0,66,0,0,0,0,0,864,66,0,0,66,66,0,0,0,66,0,0,0,0,0,66,66,0,66,0,0,0,0,0,0,0
2.0,0,3,0,0,0,0,0,0,0,0,12,49,0,0,0,0,12,0,49,37,0,0,0,0,0,0,0,0,74,0,49,0,0,0,0,0,0,0,2387,0,0,0,0,0,185,258,0,0,0,0,0,0,37,0,25,455,0,0,0,0,0,0,12,0,0,12,25,689,0,0,0,0,0,0,98,0,1759,0,0,0,0,49,25,0,0,12,49,0,0,0,0,0,12,49,0,0,0,0,160,0,0,0,0,0,0,49,25,0,12,0,12,0,0,0,0,62,0,0,0,25,0,0,0,12,12,0,0,0,25,0,0,25,0,12,0,0,25,62,0,0,0,0,0,0,12,0,0,0,0,0,209,25,0,0,0,0,12,12,0,0,0,25,25,0,0,0,62,0,37,0,0,0,0,0,12,0
2.0,0,4,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,64,64,0,0,0,0,0,0,0,0,0,1031,0,193,193,0,0,193,0,0,64,19336,0,0,0,0,0,322,5608,0,0,0,0,0,0,64,0,0,1869,0,0,0,0,0,0,0,64,129,64,0,967,0,0,0,64,0,0,387,0,8315,0,0,0,129,129,129,0,0,129,64,64,0,0,0,0,0,322,0,129,0,0,967,0,0,64,0,0,0,129,64,64,64,0,0,0,0,0,0,580,0,0,0,0,0,64,64,0,0,0,0,64,0,0,0,0,0,0,0,0,129,258,0,0,0,0,0,0,64,0,0,0,0,0,1611,0,0,0,193,64,0,0,0,129,0,129,0,0,0,0,129,0,129,0,0,0,0,0,64,0
2.0,0,5,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,446,0,89,134,0,0,0,0,0,45,4682,0,0,0,0,0,357,2096,0,0,0,0,0,0,45,0,45,1427,0,0,0,0,0,0,45,134,134,0,45,803,0,45,0,0,0,0,89,45,4147,0,0,0,45,45,45,0,89,89,45,0,0,0,0,0,0,223,0,134,45,0,223,0,0,45,45,0,0,223,0,0,45,0,89,0,45,0,0,268,0,0,0,89,0,89,45,0,0,0,0,0,89,0,0,0,0,0,0,0,268,312,0,0,0,0,0,0,134,0,0,0,0,89,892,134,0,0,0,89,89,0,0,89,0,134,0,0,0,45,89,0,45,45,0,0,0,0,45,0
2.0,0,6,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,45,0,0,0,0,0,0,0,23,0,272,0,0,136,0,0,91,0,0,45,1767,0,0,0,0,0,204,2537,0,0,0,0,0,0,23,0,23,544,0,0,45,0,0,0,23,23,23,0,0,181,0,0,0,0,0,0,113,0,997,0,0,0,23,45,45,0,0,45,45,23,0,0,0,0,0,68,0,45,0,0,272,0,0,0,0,0,0,91,0,45,23,0,0,0,0,23,0,23,0,0,0,23,0,23,23,0,0,0,0,0,23,0,0,0,0,23,0,0,113,181,0,0,0,23,0,68,23,0,0,0,0,0,272,0,0,0,0,23,0,0,0,0,0,45,23,0,45,0,23,0,68,0,0,0,0,0,0,0
2.0,0,7,0,0,0,112,0,0,0,0,112,2695,112,0,0,0,0,0,449,337,0,0,0,0,0,0,0,0,1011,0,112,898,112,0,337,0,0,337,10779,0,0,0,0,0,1347,20547,0,0,0,0,0,0,449,0,449,3930,0,0,0,0,0,0,0,225,0,0,112,225,0,0,0,0,0,0,561,0,225,0,0,0,112,112,786,0,0,225,561,112,0,0,0,0,0,337,0,112,112,0,674,0,0,112,0,0,0,561,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,112,0,0,225,561,0,0,0,112,0,0,0,0,0,0,0,0,674,0,0,0,0,112,112,0,0,337,0,112,337,0,337,225,112,0,337,225,0,0,0,0,0,0
2.0,0,8,0,0,0,0,0,0,0,0,0,487,0,0,0,0,44,0,177,89,0,0,0,0,0,0,44,0,399,0,44,133,0,0,0,0,0,44,10725,0,0,0,0,0,487,10503,0,0,0,0,0,0,399,44,44,2349,0,0,0,0,0,0,0,0,133,0,0,222,0,44,0,0,44,0,222,0,222,0,0,44,89,0,399,0,0,0,222,0,0,0,44,0,0,44,0,133,0,0,487,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,133,0,0,0,89,0,44,0,0,0,0,0,44,0,0,0,0,0,44,44,0,89,177,0,0,0,0,0,89,44,0,0,0,0,44,886,0,0,0,0,0,89,0,0,0,0,0,89,0,0,0,89,0,89,0,0,44,0,0,89,0
2.0,0,9,0,0,6,0,0,0,0,0,0,29,0,0,0,0,0,0,23,17,0,0,0,0,0,0,0,11,51,0,11,34,0,0,0,0,0,46,743,0,0,0,0,0,46,1086,0,0,0,6,0,0,0,0,11,143,0,0,0,0,0,0,0,0,11,0,11,34,0,0,0,0,0,0,29,0,63,0,0,6,11,0,0,0,6,63,29,6,0,0,0,0,11,11,6,6,0,0,103,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,29,0,0,0,6,0,6,0,0,6,0,0,17,0,0,0,0,0,6,6,0,0,40,0,0,0,0,0,6,17,0,0,0,0,0,103,6,0,0,11,6,6,0,0,6,0,6,6,0,0,51,6,0,11,11,0,0,6,0,11,6
2.0,0,10,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,29,114,29,29,0,0,0,0,0,0,0,29,0,57,86,0,0,86,0,0,0,3905,0,0,0,0,0,114,4418,0,0,0,0,0,29,143,29,57,941,0,0,0,0,0,0,0,29,29,0,0,257,0,29,0,0,0,0,86,29,0,0,0,0,86,86,171,0,0,29,29,29,0,0,0,0,0,0,0,29,29,0,513,0,0,0,0,0,0,114,57,0,0,0,0,0,0,0,0,86,0,0,0,57,0,29,0,0,29,0,0,0,29,0,0,29,0,0,0,0,0,200,0,0,0,0,0,29,114,0,0,0,0,0,485,0,0,0,0,0,0,0,0,57,0,86,0,0,0,0,29,0,57,29,0,0,0,0,29,0
