epsilon,neighborhood,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
4.0,0,1,11,0,5,0,0,11,4,1,0,8,0,0,8,0,0,12,2,0,2,0,2,0,2,8,0,0,8,0,4,2,0,0,0,0,1,2,341,5,22,9,0,0,7,0,2,3,0,0,0,9,0,14,0,17,0,8,20,3,3,0,4,0,0,9,5,6,0,10,6,0,0,2,2,0,79,0,0,0,4,0,31,0,0,0,11,2,0,8,0,0,6,0,0,1,2,10,16,0,0,1,2,0,9,13,0,0,6,0,5,1,0,1,3,7,1,0,1,1,0,4,0,0,0,0,2,0,0,2,0,10,0,0,0,0,6,11,0,0,0,11,3,0,6,0,8,0,12,12,35,3,0,0,9,1,6,0,3,0,0,5,2,0,5,0,12,0,3,0,0,4,1,1,0,0
4.0,0,2,0,3,0,0,0,11,0,1,0,10,9,7,0,0,0,0,8,10,5,8,15,1,0,0,3,11,15,0,4,0,0,4,0,0,0,17,267,0,1,0,3,0,8,5,0,0,0,1,0,5,0,12,0,32,0,1,0,3,0,0,0,0,0,0,0,21,5,0,1,0,5,0,5,0,67,2,0,9,0,0,0,0,0,4,4,4,0,1,1,0,0,0,0,3,0,1,26,0,9,0,0,0,3,10,0,0,0,3,1,0,4,20,0,0,1,5,13,7,0,0,9,2,13,5,0,4,3,3,0,0,0,6,7,0,0,3,0,10,2,0,4,0,0,1,0,0,0,2,6,8,0,3,0,1,0,0,1,1,0,0,0,0,7,6,0,0,0,1,9,0,0,4,0,0
4.0,0,3,0,1,1,0,0,0,7,9,14,10,1,0,14,1,4,2,4,15,0,0,0,0,2,1,0,0,12,6,10,9,1,7,7,0,0,0,194,0,1,0,0,0,22,14,8,3,0,0,0,8,7,0,1,37,1,2,4,0,1,0,0,1,0,11,16,47,2,4,0,0,0,0,9,0,139,0,6,0,0,11,1,0,0,14,11,0,5,12,0,0,8,0,0,0,0,11,15,7,9,0,3,0,0,13,2,12,2,0,0,0,0,2,2,2,0,3,17,0,0,4,8,5,0,0,0,0,2,5,0,0,0,0,0,7,9,9,0,5,8,0,0,0,2,8,0,0,2,1,18,6,10,0,0,2,1,0,0,3,0,4,0,1,5,4,6,0,4,3,0,11,0,0,0,0
4.0,0,4,5,11,0,0,0,10,0,0,0,0,2,0,21,16,0,6,7,0,18,1,7,4,3,8,0,0,19,0,4,0,6,0,0,0,7,1,302,0,0,0,7,0,0,87,2,0,10,0,2,0,0,0,4,28,0,5,0,7,0,0,14,0,4,4,0,17,0,11,0,0,0,7,8,1,132,0,1,5,0,2,7,24,0,0,3,11,0,0,0,0,0,8,1,0,0,0,3,0,7,2,0,13,0,0,4,0,0,0,0,1,0,0,0,6,0,1,0,0,8,0,0,0,9,4,0,11,0,0,1,1,0,13,4,4,2,0,0,5,1,10,10,10,17,0,8,4,0,0,31,0,0,13,9,0,0,2,2,3,0,4,5,13,0,0,4,0,3,0,0,0,3,0,0,5
4.0,0,5,7,0,4,13,0,0,9,0,0,0,1,6,1,0,0,0,8,0,0,15,0,0,4,3,1,0,3,2,0,10,0,0,0,10,0,0,87,2,1,0,4,0,9,61,0,0,0,0,9,0,11,0,0,32,0,0,7,0,0,2,0,0,4,0,2,16,0,18,0,1,0,5,2,0,81,0,0,0,0,0,0,0,0,8,0,0,0,0,5,4,0,7,8,2,10,8,3,0,0,0,0,0,2,9,0,0,5,19,8,2,0,3,4,4,0,0,11,10,2,1,3,0,11,0,0,3,5,5,0,0,5,0,1,0,6,1,0,10,0,1,6,11,2,1,0,2,0,12,8,2,0,1,8,0,6,0,0,0,1,0,0,0,10,0,2,0,0,7,2,3,1,0,3,14
4.0,0,6,1,0,0,0,3,0,7,0,3,11,10,0,2,0,0,4,3,4,0,0,2,14,0,0,7,0,8,0,5,8,14,0,7,2,3,4,82,6,7,12,1,0,28,123,14,0,0,0,0,0,0,0,9,24,14,13,0,0,5,6,7,0,0,0,0,7,2,0,0,2,5,0,2,0,38,0,0,8,4,8,5,11,0,6,0,0,3,0,0,0,0,2,10,6,3,0,0,2,0,12,0,11,5,0,0,2,4,0,0,0,1,0,0,2,1,5,3,0,0,6,0,11,0,0,0,12,2,9,7,13,8,3,14,0,0,9,0,0,1,5,9,5,0,0,0,7,2,28,12,3,15,2,0,11,12,0,0,0,6,0,10,0,0,7,0,0,2,2,0,4,0,0,0,3
4.0,0,7,3,0,2,0,5,4,0,0,3,11,0,12,0,4,0,0,0,3,0,0,7,12,0,0,0,0,5,0,8,7,5,0,0,0,5,0,93,2,4,0,0,0,24,181,11,3,12,0,6,2,8,5,7,37,3,3,0,0,10,2,0,10,3,3,0,0,0,0,0,0,5,0,5,16,1,0,2,0,5,6,4,0,13,16,4,1,0,0,0,0,3,0,0,10,0,0,6,0,0,24,0,0,1,15,0,0,0,3,0,8,0,1,4,14,21,0,4,0,8,2,0,1,0,0,11,6,15,2,0,4,1,1,15,1,5,8,0,0,6,0,4,4,4,0,14,0,0,2,7,0,6,18,0,0,0,7,0,0,3,11,4,1,0,35,24,0,1,5,2,0,0,0,3,0
4.0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,4,18,8,3,5,2,9,1,0,1,12,9,6,2,1,3,5,0,5,0,0,233,1,0,0,5,11,9,237,10,11,9,4,2,12,11,0,3,40,2,0,2,2,3,10,3,1,9,0,12,39,0,8,0,11,13,2,0,0,8,0,4,0,11,0,9,0,0,0,13,7,0,0,1,0,1,3,10,3,12,0,6,19,0,0,0,6,6,3,14,0,5,1,2,0,3,0,0,13,0,1,0,0,0,1,0,6,1,6,7,7,5,1,20,15,4,1,2,0,2,16,2,0,2,0,4,0,0,9,0,0,0,11,29,3,0,0,11,0,0,2,0,0,0,0,0,0,6,0,5,2,14,0,0,3,19,0,3,0
4.0,0,9,12,0,0,4,0,10,7,0,0,7,5,1,14,1,4,12,0,12,4,12,0,0,0,0,0,0,7,0,0,3,0,0,7,1,2,6,135,0,14,0,0,4,29,183,0,9,1,9,0,0,0,9,4,41,0,0,11,0,4,1,2,1,0,0,6,0,0,5,18,0,0,2,5,0,11,1,4,2,1,4,0,8,0,5,7,0,0,0,2,1,5,0,1,0,2,16,16,4,4,0,12,0,9,6,0,27,2,0,0,0,3,0,2,14,1,2,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,9,0,0,0,6,15,0,37,0,0,0,5,0,0,1,7,0,23,0,0,7,0,0,10,0,0,0,0,0,14,0,0,5,0,0,0,2,0,0,8,6,0,0
4.0,0,10,0,0,0,0,0,0,0,0,1,9,14,3,0,0,1,0,1,0,1,5,2,8,0,0,0,5,0,1,10,4,4,0,0,0,0,0,149,8,7,5,2,3,11,153,0,9,1,0,8,0,15,6,4,32,0,0,5,0,0,4,0,2,10,0,0,5,0,0,0,1,0,0,0,4,0,0,4,0,9,0,11,3,10,0,3,6,4,0,0,0,1,6,0,6,0,0,28,4,1,0,0,1,0,3,5,2,8,0,7,4,0,0,0,5,8,0,0,2,0,0,0,0,2,4,2,0,1,0,2,0,0,0,0,6,6,0,2,0,0,2,1,5,0,0,0,0,0,6,19,0,0,0,0,7,0,0,3,5,0,16,4,16,0,0,0,0,0,0,0,0,14,20,3,0
